,Job Title, Salary Estimate
0,Senior Data Scientist,$111K-$181K 
1,"Data Scientist Product Analytics",$111K-$181K 
2,Data Science Manager,$111K-$181K 
3,Data Analyst,$111K-$181K 
4,"Director Data Science",$111K-$181K 
5,Data Scientist,$111K-$181K 
6,Quantitative Researcher,$111K-$181K 
7,Quantitative Research Associate,$111K-$181K 
8,AI Scientist,$111K-$181K 
9,Quantitative Researcher,$111K-$181K 
10,Data Scientist,$111K-$181K 
11,Data Scientist/Machine Learning,$111K-$181K 
12,"Data Scientist Acorn AI Labs",$111K-$181K 
13,Data Scientist,$111K-$181K 
14,Data Scientist - Alpha Insights,$111K-$181K 
15,Data Scientist,$111K-$181K 
16,"Data Scientist Analytics",$111K-$181K 
17,Data Scientist/ML Engineer,$111K-$181K 
18,Data Scientist,$111K-$181K 
19,"VP Data Science",$111K-$181K 
20,"Data Scientist Disney+ Personalization",$111K-$181K 
21,"Senior Data Scientist Data Science Operations",$111K-$181K 
22,Quantitative Researcher – Intern (US),$111K-$181K 
23,Senior Data Engineer (Healthcare Domain experience required),$111K-$181K 
24,Data Scientist,$111K-$181K 
25,"Data Scientist Marketplace Economics",$111K-$181K 
26,Data Scientist,$111K-$181K 
27,Lead Data Scientist,$111K-$181K 
28,"Data Scientist Personalization",$111K-$181K 
29,Principal Data Scientist,$111K-$181K 
30,Data Scientist,$120K-$140K 
31,"Data Scientist Decisions",$120K-$140K 
32,Data Scientist,$120K-$140K 
33,Data Scientist,$120K-$140K 
34,Data Science Analyst,$120K-$140K 
35,"Senior Data Analyst Insights & Analytics Team [Customer Operations]",$120K-$140K 
36,Data Scientist,$120K-$140K 
37,Data Scientist,$120K-$140K 
38,Data Scientist for Alpha Insights,$120K-$140K 
39,"Data Scientist Analytics",$120K-$140K 
40,Data Scientist,$120K-$140K 
41,Quantitative Researcher / Quantitative Research Analyst,$120K-$140K 
42,Technical Data Consultant,$120K-$140K 
43,"Data Scientist Instagram - Well-being Trust",$120K-$140K 
44,Data Science Analyst,$120K-$140K 
45,"Data Scientist Decisions",$120K-$140K 
46,Data Scientist,$120K-$140K 
47,Data Scientist/Lead Data Scientist,$120K-$140K 
48,Quantitative Research Analyst,$120K-$140K 
49,"Data Scientist Analytics & Inference",$120K-$140K 
50,Data Analyst,$120K-$140K 
51,CIB - Data Scientist,$120K-$140K 
52,Data Scientist,$120K-$140K 
53,Data Scientist,$120K-$140K 
54,Lead Data Scientist - 66201BR,$120K-$140K 
55,"Data Scientist Analytics & Inference",$120K-$140K 
56,Data Scientist,$120K-$140K 
57,"Data Scientist Buyer Experience",$120K-$140K 
58,Data Scientist,$120K-$140K 
59,Data Scientist - Forecasting,$120K-$140K 
60,Data Scientist - Machine Learning Platform,$119K-$147K 
61,Data Scientist - People Analytics,$119K-$147K 
62,Data Scientist / Engineer,$119K-$147K 
63,Data Scientist,$119K-$147K 
64,Applied Data Scientist,$119K-$147K 
65,Data Scientist - Analytics Engineer,$119K-$147K 
66,People Analytics Data Scientist,$119K-$147K 
67,Data Scientist,$119K-$147K 
68,Credit Analytics Manager,$119K-$147K 
69,Data Scientist - Nationwide Opportunities,$119K-$147K 
70,Data Scientist,$119K-$147K 
71,Data Scientist,$119K-$147K 
72,Data Scientist,$119K-$147K 
73,Data Scientist - Power BI,$119K-$147K 
74,Data Engineer (Python),$74K-$124K 
75,Data Scientist - Next Gen Digital Investing App,$74K-$124K 
76,Data Scientist,$74K-$124K 
77,Data Scientist - Disney Streaming Services,$74K-$124K 
78,Data Scientist Technical Lead,$74K-$124K 
79,Healthcare Data Scientist,$74K-$124K 
80,Data Scientist - Relocate to Washington D.C.,$74K-$124K 
81,Senior Data Scientist,$74K-$124K 
82,Data Scientist,$74K-$124K 
83,"Data Scientist/Engineer (SAS R code Python & Sql (Open to remote Workers))",$74K-$124K 
84,"Data Scientist Analytics- Instagram-Family Stories",$74K-$124K 
85,Data Scientist,$74K-$124K 
86,Point72 Data Scientist,$74K-$124K 
87,"Data Scientist II Data Models & Decisions",$74K-$124K 
88,Data Scientist,$74K-$124K 
89,Data Scientist/Data Architect,$74K-$124K 
90,AI - Quantitative Research Scientist,$74K-$124K 
91,Data Scientist,$74K-$124K 
92,Data Scientist - Altdata,$74K-$124K 
93,Data Analyst,$74K-$124K 
94,Data Scientist,$74K-$124K 
95,Data Scientist,$74K-$124K 
96,"Data Scientist Recommendations",$74K-$124K 
97,"Data Scientist Analytics & Insights",$74K-$124K 
98,Data Scientist,$74K-$124K 
99,Machine Learning Engineer/Scientist,$74K-$124K 
100,Point72 Healthcare Data Scientist,$74K-$124K 
101,Senior Data Scientist - Automated Marketing,$74K-$124K 
102,Data Scientist,$74K-$124K 
103,Data Scientist,$74K-$124K 
